{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 1, 'delta_replicas': 1, 'scaling_t': 0.16177845001220703, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 8, 'delta_replicas': 8, 'scaling_t': 30.15994381904602, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 10, 'delta_replicas': 10, 'scaling_t': 30.140878677368164, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 10, 'delta_replicas': 10, 'scaling_t': 30.13977551460266, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 10, 'delta_replicas': 10, 'scaling_t': 30.18659210205078, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 16, 'delta_replicas': 16, 'scaling_t': 30.147940635681152, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 16, 'delta_replicas': 16, 'scaling_t': 30.14921474456787, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 16, 'delta_replicas': 16, 'scaling_t': 30.13881754875183, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 20, 'delta_replicas': 20, 'scaling_t': 30.14696955680847, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 20, 'delta_replicas': 20, 'scaling_t': 30.181089878082275, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 20, 'delta_replicas': 20, 'scaling_t': 30.14812135696411, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 30, 'delta_replicas': 30, 'scaling_t': 30.171489715576172, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 30, 'delta_replicas': 30, 'scaling_t': 30.164478063583374, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 30, 'delta_replicas': 30, 'scaling_t': 30.14825177192688, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 40, 'delta_replicas': 40, 'scaling_t': 30.15286087989807, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 40, 'delta_replicas': 40, 'scaling_t': 30.141506910324097, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 40, 'delta_replicas': 40, 'scaling_t': 30.13683009147644, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
